ITRG,Integra Resources Corp. Common Shares,$1.55 ,0,0.00%,96266323,,,49273,,
JOB,GEE Group Inc. Common Stock,$0.57 ,-0.015,-2.56%,65060079,United States,,142746,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.50 ,0.0077,1.56%,27129616,Canada,,5723,,
KULR,KULR Technology Group Inc. Common Stock,$2.13 ,-0.105,-4.71%,222566350,United States,,87262,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.45 ,-0.01,-0.69%,217472953,United States,,83919,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$39.06 ,-0.9837,-2.46%,547463991,United States,2014,24690,,
LGL,LGL Group Inc. (The) Common Stock,$10.73 ,0.144,1.36%,56994492,United States,,1271,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$116.46 ,0.44,0.38%,29532911236,United States,,615587,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$1.36 ,0.01,0.74%,93564068,United States,,53801,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$6.13 ,0.0303,0.50%,55504815,,2020,1159,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$16.22 ,-0.135,-0.83%,449235245,United Kingdom,2012,13930,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$15.80 ,0.045,0.29%,1543554560,Canada,,133303,,
MHH,Mastech Digital Inc Common Stock,$18.19 ,0,0.00%,208057456,United States,,95,Consumer Services,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$4.04 ,0.03,0.75%,290978725,,2020,12072,Consumer Services,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.50 ,0.09,6.38%,15954417,United States,2021,94618,Capital Goods,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$1.34 ,-0.02,-1.47%,90913546,United States,2015,8057,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.63 ,-0.08,-1.70%,675263994,,,38136,,
MSN,Emerson Radio Corporation Common Stock,$0.70 ,-0.0303,-4.15%,14727752,United States,,31518,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$7.01 ,0.0112,0.16%,308083023,,,40292,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.64 ,-0.0108,-1.66%,138182170,United States,2017,124738,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$11.16 ,-0.0685,-0.61%,23680975,United States,,52940,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$7.35 ,-0.07,-0.94%,50419552,United States,2017,2369,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.32 ,-0.0064,-1.94%,171424443,Canada,,693362,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.83 ,-0.03,-3.49%,25056448,United States,,5342,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$13.74 ,-0.0642,-0.47%,258713642,United States,2002,2414,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.15 ,0.01,0.08%,61690617,United States,2002,1801,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.06 ,-0.085,-0.65%,72468879,United States,2002,5090,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.29 ,-0.0033,-1.14%,14272961,United States,2007,51164,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$80.00 ,0,0.00%,292215680,United States,,48,Finance,Real Estate
NES,Nuverra Environmental Solutions Inc. Common Stock,$1.88 ,0.02,1.08%,30474087,United States,2017,27751,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$2.96 ,-0.0969,-3.17%,461518118,,2021,23623,,
NFGC,New Found Gold Corp Common Shares,$6.12 ,-0.205,-3.24%,1004036477,,2021,33947,,
NG,Novagold Resources Inc.,$6.96 ,-0.095,-1.35%,2315471863,Canada,,176468,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.93 ,-0.0631,-3.17%,1312026210,Canada,,3045186,,
NHC,National HealthCare Corporation Common Stock,$64.01 ,0.045,0.07%,987170877,United States,,2166,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$10.83 ,-0.022,-0.20%,158777482,United States,,2180,Finance,Trusts Except Educational Religious and Charitable
NILE,BitNile Holdings Inc. Common Stock,$0.87 ,0,0.00%,73368011,United States,,196419,Finance,Investment Bankers/Brokers/Service
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.63 ,-0.03,-0.53%,318989765,,2013,22402,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$2.03 ,0.0453,2.29%,23359810,United States,,5163,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.54 ,-0.0375,-0.82%,215506711,United States,2003,43087,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$2.75 ,0.0213,0.78%,66273980,United States,,382,,
NXE,Nexgen Energy Ltd. Common Shares,$4.23 ,0.08,1.93%,2016912285,,,256478,,
OBE,Obsidian Energy Ltd. Common Shares,$7.68 ,0.08,1.05%,620077371,,,230924,,
OGEN,Oragenics Inc. Common Stock,$0.38 ,-0.0076,-1.94%,44765442,United States,,172808,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$1.05 ,-0.01,-0.94%,58666832,United States,2007,142811,Capital Goods,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$3.79 ,-0.15,-3.81%,938403826,,2020,18837,,
OZ,Belpointe PREP LLC Class A Units,$83.71 ,-10.3294,-10.98%,0,,,72693,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$30.67 ,0.66,2.20%,,United States,,344,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$28.20 ,0.3,1.08%,,United States,,400,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$26.60 ,0.35,1.33%,,United States,,500,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$26.70 ,0,0.00%,,United States,,6,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$25.61 ,-0.14,-0.54%,,United States,,100,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$25.00 ,0.6,2.46%,,United States,,1500,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$24.03 ,-0.22,-0.91%,,United States,,7801,,
PED,Pedevco Corp. Common Stock,$1.34 ,0.04,3.08%,114520616,United States,,236309,,
PHGE,BiomX Inc. COmmon Stock,$1.71 ,0,0.00%,48873902,,2019,8172,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.96 ,-0.02,-2.04%,40878653,China,,8051,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.93 ,-0.04,-2.03%,185070269,Canada,,200606,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.53 ,0.0136,0.54%,255582778,Canada,,38902,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$0.88 ,0.0242,2.83%,40089849,Israel,,30618,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$25.87 ,0.0419,0.16%,,United States,,4403,,
PRK,Park National Corporation Common Stock,$132.39 ,0.07,0.05%,2147307946,United States,,2379,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$0.39 ,-0.015,-3.75%,89202680,United States,,375015,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$53.43 ,-0.54,-1.00%,177517595,United States,,3093,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$25.83 ,-0.285,-1.09%,,United States,,248,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.64 ,-0.005,-0.78%,27799535,United States,2015,9265,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.31 ,-0.0733,-3.08%,13729377,United States,,563,Finance,Investment Managers
RCOR,Renovacor Inc. Common Stock,$5.50 ,-0.05,-0.90%,94908231,,2020,457,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$3.02 ,0.16,5.59%,300913289,United States,,832019,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.66 ,3.375,13.90%,539685527,United States,,31437,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.98 ,-0.17,-4.10%,7062928,,2017,21665,Health Care,Hospital/Nursing Management
